,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,14_day_MA,14_day_STD,Upper Band,Lower Band
2018-01-30,TCS,EQ,3198.85,3180.0,3203.8,3143.7,3152.15,3152.85,3166.46,787379,2493202689.95,45149,384193,48.79,2018,1,-1.4380167872829253,Negative,2971.6142857142854,166.27573997218505,3304.1657656586553,2639.0628057699155
2018-01-31,TCS,EQ,3152.85,3137.0,3150.0,3098.6,3111.15,3112.35,3119.14,1521607,4746105492.1,92438,978756,64.32,2018,1,-1.2845520719349188,Negative,2993.453571428571,162.98148722653266,3319.4165458816365,2667.490596975506
2018-02-01,TCS,EQ,3112.35,3124.0,3190.0,3088.8,3150.0,3138.6,3146.24,1200315,3776473823.35,66084,310672,25.88,2018,2,0.8434141404405127,Slight positive,3018.317857142857,156.0425541160358,3330.4029653749285,2706.2327489107856
2018-02-02,TCS,EQ,3138.6,3120.0,3190.0,3103.45,3153.0,3153.65,3167.25,1228245,3890162746.1,52829,586030,47.71,2018,2,0.4795131587332024,Slight or No Change,3045.2678571428573,143.08113164745927,3331.4301204377757,2759.105593847939
2018-02-05,TCS,EQ,3153.65,3110.0,3188.0,3076.85,3110.0,3103.2,3118.75,1378871,4300356206.7,75866,655249,47.52,2018,2,-1.5997336419704244,Negative,3070.775,114.65159891870898,3300.078197837418,2841.471802162582
2018-02-06,TCS,EQ,3103.2,3010.0,3077.15,2985.0,3000.0,2997.25,3020.91,1328653,4013743636.45,53630,728147,54.8,2018,2,-3.4142175818509872,Among top losers,3081.2321428571427,98.60287600569542,3278.4378948685335,2884.026390845752
2018-02-07,TCS,EQ,2997.25,3027.0,3031.0,2947.45,2959.0,2955.05,2975.26,1090162,3243512073.4,55520,506385,46.45,2018,2,-1.407957294186335,Negative,3085.9535714285716,89.88465999073193,3265.7228914100356,2906.1842514471077
2018-02-08,TCS,EQ,2955.05,2979.75,3027.6,2959.0,2966.2,2974.2,3000.15,1377502,4132716046.7,63513,601956,43.7,2018,2,0.6480431803184361,Slight positive,3089.9535714285716,82.81298547442879,3255.5795423774293,2924.327600479714
2018-02-09,TCS,EQ,2974.2,2950.0,2994.0,2896.65,2978.3,2971.7,2940.4,1051229,3091037411.75,71919,421771,40.12,2018,2,-0.08405621679778985,Slight or No Change,3090.839285714286,81.36170233681204,3253.5626903879097,2928.115881040662
2018-02-12,TCS,EQ,2971.7,2978.3,3023.35,2955.55,2960.15,2967.3,2981.33,987281,2943408236.55,49385,512025,51.86,2018,2,-0.14806339805497615,Slight or No Change,3080.1892857142857,87.300161200341,3254.7896081149675,2905.588963313604
